materialId,materialType,status,ownerOrg,numCredentials,numTransfers,hasIdentity,hasQC,hasExpiredQC,hasTamperedArtifact,hasPendingTransfer,expectedOnChain,expectedFull
bio:cell_line:14831ac0-ea3b-481f-926a-f1cfb6f11bc9,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:plasmid:f2ec4a63-3ca7-4df4-a52f-6f197cd9dd86,PLASMID,ACTIVE,LabA_MSP,2,3,true,true,false,true,false,PASS,FAIL
bio:cell_line:cc24712a-7b4c-493f-9520-6c47aad29594,CELL_LINE,REVOKED,BioRepository_MSP,2,2,true,true,false,true,false,FAIL,FAIL
bio:plasmid:8cef9da2-926c-41af-ad24-8c547e0cf4ee,PLASMID,ACTIVE,LabA_MSP,2,3,true,true,false,false,false,PASS,PASS
bio:plasmid:a8f95f50-ddb3-44d7-b57e-5f3c600f494c,PLASMID,ACTIVE,LabA_MSP,3,3,true,true,true,true,false,FAIL,FAIL
bio:cell_line:37ae343e-50a7-4d7b-a008-899f6e1e995c,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:plasmid:41038668-6658-4a2f-9cd0-d4818173400c,PLASMID,ACTIVE,BioRepository_MSP,1,3,true,false,false,false,true,FAIL,FAIL
bio:plasmid:d1e20370-d73c-47fc-96f5-1713e8fbacbe,PLASMID,ACTIVE,BioRepository_MSP,3,2,true,true,false,true,false,PASS,FAIL
bio:cell_line:2f84b6fe-e96c-4175-96b4-fcba182dda01,CELL_LINE,REVOKED,LabB_MSP,3,2,true,true,false,false,false,FAIL,FAIL
bio:cell_line:d1a95157-88ec-4b2d-aa91-a19bc4083286,CELL_LINE,ACTIVE,LabA_MSP,2,3,true,true,false,false,false,PASS,PASS
bio:plasmid:6fceef33-a3ed-4daf-af82-389bc23bef81,PLASMID,ACTIVE,LabB_MSP,1,1,true,false,false,false,false,FAIL,FAIL
bio:cell_line:cbb775d7-26a0-4342-b017-24bf52d31613,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:9658846f-c08c-4703-b404-f301df7a41c2,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:919bb202-a361-4ef2-8f5d-f231e01320d4,PLASMID,ACTIVE,LabA_MSP,3,3,true,true,false,false,false,PASS,PASS
bio:cell_line:3c7b2733-7142-41f7-ac20-21a2f79ef9f6,CELL_LINE,ACTIVE,BioRepository_MSP,2,3,true,true,false,true,false,PASS,FAIL
bio:cell_line:f2a4131d-deae-4755-b160-7bac5aaf5040,CELL_LINE,ACTIVE,LabA_MSP,2,3,true,true,false,true,false,PASS,FAIL
bio:cell_line:19df168e-5778-4c97-b75b-22cce5da1134,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:bdc16955-4845-4e8d-a49d-b89607200898,PLASMID,ACTIVE,BioRepository_MSP,3,3,true,true,false,true,false,PASS,FAIL
bio:cell_line:b39e7266-e215-4d36-bbdb-f2bc65c02e3a,CELL_LINE,ACTIVE,LabB_MSP,1,1,true,false,false,false,false,FAIL,FAIL
bio:cell_line:b4a695c5-22fa-40eb-b197-fa64655dd724,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,true,true,false,FAIL,FAIL
bio:cell_line:192aac8c-04e7-47e0-8510-499b05bf418e,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:6ef4f88c-eeae-4765-835b-f00ed4db4dd4,CELL_LINE,ACTIVE,LabA_MSP,2,2,true,true,false,true,false,PASS,FAIL
bio:plasmid:9165e014-ef07-4818-8c6c-85c31acabdd6,PLASMID,ACTIVE,LabA_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:f9380f3c-3008-4f92-a338-336a7451bf26,CELL_LINE,ACTIVE,LabB_MSP,3,3,true,true,false,false,false,PASS,PASS
bio:cell_line:1dbbe682-58bf-4852-911e-43b8ddc76501,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:74b78272-0090-43bf-aa80-5e546c6110e0,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:cell_line:d0231e9c-397c-4f65-89ba-265b29920ea9,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:cell_line:68ccbccf-a878-41b2-b90a-e94291bf6947,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:plasmid:11204fa1-be96-4e84-91b7-d671da0b5e51,PLASMID,ACTIVE,LabA_MSP,2,1,true,false,false,false,false,FAIL,FAIL
bio:cell_line:ed34a9c0-b4ed-4476-b1ea-afea4164a289,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:6073bc52-eab5-4dbe-b385-5c8deeaf6893,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:0f5f98c3-cf3a-48dd-becd-14763d25cc40,CELL_LINE,ACTIVE,LabB_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:4a2dec05-cee6-42a0-9b9f-10fbd02cf060,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,false,false,false,true,FAIL,FAIL
bio:cell_line:1c202e5e-d8c3-42b5-8f20-f9dd7615da00,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,true,true,false,FAIL,FAIL
bio:plasmid:b2faf518-9c27-4984-8fb1-c2e6c55e82bc,PLASMID,ACTIVE,LabB_MSP,2,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:66871847-3d7c-4b6a-9679-2cd93d936a80,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,false,true,false,PASS,FAIL
bio:cell_line:c50734bd-a783-4ade-941b-0f8990c3124a,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:plasmid:031e9973-fd77-4280-9953-da51715e0540,PLASMID,ACTIVE,LabB_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:7695e26c-033e-4af2-891f-8cfb73ef363a,PLASMID,ACTIVE,BioRepository_MSP,2,3,true,true,false,false,false,PASS,PASS
bio:cell_line:aed56007-2992-4faf-9f2b-d59256b3ec84,CELL_LINE,ACTIVE,LabB_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:5fa69a6e-f0bb-4ca9-a242-a12669616538,PLASMID,REVOKED,LabA_MSP,3,2,true,true,false,true,false,FAIL,FAIL
bio:cell_line:86575f5d-9653-428d-977c-b563ff417924,CELL_LINE,ACTIVE,LabB_MSP,3,3,true,true,false,false,false,PASS,PASS
bio:cell_line:d17ee971-85d2-4681-a599-7cf52186a84b,CELL_LINE,ACTIVE,BioRepository_MSP,1,2,true,false,false,false,false,FAIL,FAIL
bio:cell_line:0fb85e34-8a1a-4525-be0e-d6b4fa018e00,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:556b42e2-bf3e-4338-94e4-66be9ee4b961,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:plasmid:9ad90450-a47d-4e1e-a325-0353d969d33e,PLASMID,ACTIVE,LabB_MSP,3,2,true,true,false,true,false,PASS,FAIL
bio:cell_line:7781d5b1-ffb9-4fc7-956d-ae9cb07cbaba,CELL_LINE,QUARANTINED,LabB_MSP,2,3,true,true,false,true,false,FAIL,FAIL
bio:cell_line:c7791238-5373-4db3-91f7-fa4b61d81ee0,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:fdc66135-7811-4db9-b634-61df9ddf7be1,CELL_LINE,ACTIVE,LabA_MSP,1,3,true,false,false,false,false,FAIL,FAIL
bio:cell_line:05668bde-17d9-4013-b4fc-476e6cf54fb8,CELL_LINE,ACTIVE,LabB_MSP,2,3,true,true,true,false,false,FAIL,FAIL
bio:cell_line:c0e7e160-bec1-40f6-9432-a75060053996,CELL_LINE,ACTIVE,LabB_MSP,2,3,true,true,false,false,false,PASS,PASS
bio:cell_line:fc4d5630-fa8a-4238-8e59-07e23a3bb077,CELL_LINE,ACTIVE,LabA_MSP,3,3,true,true,true,false,false,FAIL,FAIL
bio:cell_line:07f36a74-3508-4316-b0fa-6aa3d72f96ea,CELL_LINE,ACTIVE,LabB_MSP,3,2,true,true,true,true,false,FAIL,FAIL
bio:cell_line:31611ba2-7058-466e-ad4e-0a6b88e3d838,CELL_LINE,QUARANTINED,BioRepository_MSP,2,1,true,true,false,false,true,FAIL,FAIL
bio:cell_line:9c7dc9c6-e097-4923-89e5-58eb7f5655b2,CELL_LINE,ACTIVE,LabA_MSP,1,2,true,false,false,false,false,FAIL,FAIL
bio:cell_line:38fb277f-89bf-4b27-9b8c-9bb94acf6402,CELL_LINE,QUARANTINED,BioRepository_MSP,3,2,true,true,true,true,false,FAIL,FAIL
bio:cell_line:d5821b73-7b3d-497b-8609-f36b8e7f3791,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,true,false,PASS,FAIL
bio:cell_line:1e7fa335-610b-4e0c-a3df-3f3cc408391a,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:ce2cf361-5e74-460c-a755-64b6872ffbdb,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:12b07962-70f3-45b3-8004-2e2c45ecbe18,CELL_LINE,REVOKED,LabB_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:90a7d268-7fb8-4e8c-af94-727372d600df,CELL_LINE,REVOKED,BioRepository_MSP,2,1,true,true,true,false,true,FAIL,FAIL
bio:cell_line:439eeb88-a0b8-43da-8698-5d468f330d75,CELL_LINE,ACTIVE,BioRepository_MSP,1,1,true,false,false,false,true,FAIL,FAIL
bio:plasmid:2b050181-1f50-4a40-b716-51cc6da79d77,PLASMID,ACTIVE,BioRepository_MSP,2,1,true,false,false,false,true,FAIL,FAIL
bio:cell_line:15c6aec9-45d8-4e2b-8164-e964d4fe5b6f,CELL_LINE,ACTIVE,LabB_MSP,3,3,true,true,true,false,false,FAIL,FAIL
bio:plasmid:f9d72f10-67b2-4551-8145-71f89fdef08a,PLASMID,ACTIVE,LabB_MSP,3,3,true,true,true,false,false,FAIL,FAIL
bio:cell_line:4e7389d3-f726-4faa-8e24-506d3f929b45,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,true,true,false,FAIL,FAIL
bio:cell_line:97bd4720-0957-445c-8209-726684ca7eb9,CELL_LINE,ACTIVE,LabB_MSP,3,3,true,true,true,true,false,FAIL,FAIL
bio:cell_line:7590fcb1-d153-4eb2-9063-1dccde8b7c39,CELL_LINE,ACTIVE,LabA_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:81f92b71-53f7-4c67-a943-14004744274e,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:c79f1cac-ed9b-4c49-a333-d81b5f186acc,PLASMID,ACTIVE,BioRepository_MSP,2,3,true,true,false,true,true,FAIL,FAIL
bio:cell_line:1d5c79a6-314d-4208-9ed9-f4e1f994387c,CELL_LINE,QUARANTINED,LabB_MSP,2,2,true,true,false,true,false,FAIL,FAIL
bio:plasmid:a04845f3-0675-4b00-85d2-9a084c8a2de3,PLASMID,ACTIVE,LabB_MSP,2,3,true,true,false,true,false,PASS,FAIL
bio:cell_line:e10b38b5-6e0e-4a63-a4d1-96e714564f82,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:26bcc1b4-5eb5-44ba-842b-ab198ae07ee1,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,true,false,PASS,FAIL
bio:cell_line:191e6fa6-178e-42e0-8c7f-9e75e797b628,CELL_LINE,ACTIVE,LabB_MSP,2,3,true,true,false,true,false,PASS,FAIL
bio:cell_line:be058904-d87f-4a4b-b65d-c73353d6efa9,CELL_LINE,ACTIVE,LabA_MSP,2,3,true,true,true,false,false,FAIL,FAIL
