materialId,materialType,status,ownerOrg,numCredentials,numTransfers,hasIdentity,hasQC,hasExpiredQC,hasTamperedArtifact,hasPendingTransfer,expectedOnChain,expectedFull
bio:cell_line:a20312bc-761d-4dcf-a649-7b67a01d9ea1,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:cell_line:3dcccce1-f321-4ffb-9246-6d3fb884c080,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:9fe145db-bd32-496a-9d0c-d129f8c5044e,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:3dce715d-1606-4603-b064-c42758b2c785,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:a379e9c8-abfc-44b2-a000-a4a9354681fd,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:plasmid:fbe1e16e-33b2-4025-88e5-039f1704660c,PLASMID,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:plasmid:9f486c5d-1c51-4562-921a-a43b634bf25a,PLASMID,ACTIVE,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:plasmid:335d5055-1415-449e-b5e6-b11a058be853,PLASMID,ACTIVE,BioRepository_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:3e5728ec-4cf5-41de-8663-3a0c3e072a8a,PLASMID,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:c305434e-75ac-4fc1-91c1-e94b4897236b,PLASMID,ACTIVE,LabB_MSP,3,2,true,true,false,true,false,PASS,FAIL
bio:cell_line:b0ab9ede-2185-46d1-b9a3-18f21e97acaa,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:146ab993-38ff-45a0-8245-8e349b3b6c76,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:e455bb3b-2843-4d94-972a-0b6a6d3b1108,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:11d0e142-2768-48aa-9017-19f4b93813c3,CELL_LINE,ACTIVE,LabB_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:ee789021-2e1e-431c-a9e7-abaa3f1bb3e7,PLASMID,ACTIVE,LabA_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:cell_line:a931edc8-9c14-48c2-a59f-4fbfe780e910,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:cell_line:3df58d38-b688-4139-b224-9e3177c64568,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:f80da8cf-64c3-4c3b-9388-4558064b14c4,CELL_LINE,ACTIVE,LabA_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:6c9c68c8-d319-444f-b8e0-7dbbf8adbe91,PLASMID,ACTIVE,BioRepository_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:plasmid:2c62a2b6-6f77-47db-b77d-b852b075a4ae,PLASMID,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:cell_line:8623645a-1f74-47d0-8258-3ab89e2af077,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:plasmid:9d9403a3-5426-4566-b543-cf5f1d9f130d,PLASMID,ACTIVE,BioRepository_MSP,3,1,true,true,true,false,true,FAIL,FAIL
bio:plasmid:eb4abfdb-128c-4cef-80af-a32783a023dd,PLASMID,ACTIVE,LabB_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:b1b28cbb-a31f-455a-b3fb-851abbb0f0d7,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:ac23df3f-c686-4ae9-901b-84fc13e5b0e0,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:cell_line:a81400f3-51aa-4832-ad61-9a4bd41a8906,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:515522d2-9b15-40a2-8e65-efe96dcc2b21,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:3c1f0767-d95a-454b-8ba4-aef356aad086,PLASMID,ACTIVE,LabA_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:673a48a5-79a7-42d9-a139-85bb2e570978,PLASMID,ACTIVE,LabA_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:df05f38f-21b7-421c-863f-3fcbd564bbbf,CELL_LINE,ACTIVE,BioRepository_MSP,2,1,true,true,false,false,true,FAIL,FAIL
bio:cell_line:cdf758d4-fa51-4e00-95da-a5f33bfe46c8,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:9648956c-6657-4928-8838-d4d4c574b387,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:b18aa7d5-a9ef-459b-a105-8019ad9c792c,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:cell_line:1a6fad7a-581d-42cf-a635-fbe1418c74a7,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:plasmid:a35d2f3c-cb6c-4e42-9eba-d076628aac15,PLASMID,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:cell_line:8a704ae7-8068-4f5b-a71a-5c29da704892,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:ff5c409d-750e-46a1-9aed-3b166d4951d8,CELL_LINE,QUARANTINED,BioRepository_MSP,3,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:2bc24808-d6f6-4250-ab93-cc2ea3b3c3c1,PLASMID,ACTIVE,LabB_MSP,2,1,true,true,true,true,false,FAIL,FAIL
bio:cell_line:1348daa4-d1e1-4dd0-8c93-4878aa5bb937,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:8983293d-fe2c-43a0-af07-b001b917d992,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:9a4efd41-e26d-42fc-844b-ae29b653858c,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:cell_line:3c18257d-4030-469e-bbb3-8c93568519bc,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:f5137d5f-179a-40f0-9b20-e60810a2d3bd,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:b2f188a7-f64d-4634-a28c-ba7c9bcb9e07,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:cell_line:8c554d66-8542-402a-9c4f-a08d226418ad,CELL_LINE,ACTIVE,LabB_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:cell_line:11579518-7895-4706-9c1b-86e107c03677,CELL_LINE,ACTIVE,LabA_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:90fae6b4-705e-47de-9880-c9325d71d379,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:plasmid:35cff882-71ea-4f07-9d9e-43a89bbcf7af,PLASMID,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:9b619d9a-e515-4783-a770-d6003c84fdce,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:7f1dfd0b-93cf-45d0-a6f1-7db1dd06e2ff,CELL_LINE,ACTIVE,LabB_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:ff7f89b9-704e-43f9-81a2-4c7c9fe54da0,PLASMID,ACTIVE,LabA_MSP,2,1,true,true,true,false,false,FAIL,FAIL
bio:plasmid:afa4844c-8417-4736-a63b-dbc38676ca17,PLASMID,ACTIVE,LabA_MSP,2,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:644d7d5a-79bf-42fb-b0b9-0ed087163a3b,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:plasmid:db312fe6-022c-4e7e-9eed-a317fe7010e9,PLASMID,ACTIVE,LabB_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:c0fd57a2-4dc4-4149-b281-9dea42d24ecf,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:4be2444c-7fbf-4eac-ad43-44d40ee9cba5,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:plasmid:5c29620a-b9d1-4e62-861f-bf6f6a52e30d,PLASMID,ACTIVE,LabB_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:plasmid:420910f7-d3a4-4f22-8db2-4696b9d5e8d3,PLASMID,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:6c9ef230-8c8a-4aea-af77-23d4ddb9057f,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:plasmid:4d3dbcc7-86b8-440f-817e-f90a4fb7f093,PLASMID,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:234da169-c572-444f-8101-4d9b4f479989,CELL_LINE,ACTIVE,LabA_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:073f631c-7375-4b52-859b-bce17332aad7,CELL_LINE,ACTIVE,LabB_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:88185d96-a57d-4805-a0b0-26b74129bdfb,PLASMID,ACTIVE,LabB_MSP,3,1,true,true,false,false,false,PASS,PASS
bio:cell_line:71f61bb8-378d-4667-aa8e-a8731c1afc47,CELL_LINE,ACTIVE,LabB_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:63474cea-23d2-42c5-9518-7739f102714f,CELL_LINE,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:281085cb-e8fa-4756-9fe6-7523b0701125,CELL_LINE,ACTIVE,LabB_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:aee0d718-cbd0-4461-bc94-94f816502e42,CELL_LINE,ACTIVE,LabA_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:cell_line:3ebeff9a-0467-40ae-a914-5988e89755f8,CELL_LINE,ACTIVE,LabB_MSP,3,2,true,true,false,true,false,PASS,FAIL
bio:cell_line:9ff39f83-3340-4773-8e6e-3c8cced799d8,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,true,false,false,FAIL,FAIL
bio:plasmid:2183a008-5c70-477e-b6a1-ef72187d80c5,PLASMID,REVOKED,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:e8217c60-ab89-4e2c-97e3-35d5076053a6,CELL_LINE,ACTIVE,LabA_MSP,3,1,true,true,true,false,false,FAIL,FAIL
bio:cell_line:bb3b5a78-d25e-4072-a089-72c624c8852c,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:b797d017-40be-4e78-beca-53a23d83dc18,PLASMID,ACTIVE,LabA_MSP,2,1,true,true,false,false,false,PASS,PASS
bio:cell_line:b6737b63-41b2-4920-99e1-5065604207bf,CELL_LINE,ACTIVE,LabA_MSP,3,2,true,true,false,false,false,PASS,PASS
bio:cell_line:bf7f3d2f-61c6-43ce-883d-974a623447a7,CELL_LINE,ACTIVE,BioRepository_MSP,3,2,true,true,true,true,false,FAIL,FAIL
bio:cell_line:3701beb4-19cc-4948-aa3d-fdc39837524e,CELL_LINE,ACTIVE,LabA_MSP,2,2,true,true,false,false,false,PASS,PASS
bio:plasmid:30687abe-ec30-470b-aa65-3802af5b34f4,PLASMID,ACTIVE,LabB_MSP,2,1,true,true,true,true,false,FAIL,FAIL
bio:cell_line:7210ce11-06b5-4dbd-867a-12193e3f1c3b,CELL_LINE,ACTIVE,BioRepository_MSP,2,2,true,true,true,true,false,FAIL,FAIL
